UF;COD_UF;COD_MUNIC;NOME_DO_MUNICÍPIO;POP_COLETADA;POP_IMPUTADA;POP_TOTAL
PR;41;00103;Abatiá;7202;39;7241
PR;41;00202;Adrianópolis;6192;64;6256
PR;41;00301;Agudos do Sul;10215;18;10233
PR;41;00400;Almirante Tamandaré;112683;7142;119825
PR;41;00459;Altamira do Paraná;3510;80;3590
PR;41;00509;Altônia;18656;86;18742
PR;41;00608;Alto Paraná;13483;426;13909
PR;41;00707;Alto Piquiri;9656;71;9727
PR;41;00806;Alvorada do Sul;10315;11;10326
PR;41;00905;Amaporã;4740;22;4762
PR;41;01002;Ampére;19594;26;19620
PR;41;01051;Anahy;2894;24;2918
PR;41;01101;Andirá;19831;47;19878
PR;41;01150;Ângulo;3002;233;3235
PR;41;01200;Antonina;17566;525;18091
PR;41;01309;Antônio Olinto;6860;158;7018
PR;41;01408;Apucarana;126578;3556;130134
PR;41;01507;Arapongas;117565;1573;119138
PR;41;01606;Arapoti;25589;188;25777
PR;41;01655;Arapuã;3515;12;3527
PR;41;01705;Araruna;13767;718;14485
PR;41;01804;Araucária;145610;6056;151666
PR;41;01853;Ariranha do Ivaí;2329;0;2329
PR;41;01903;Assaí;13304;493;13797
PR;41;02000;Assis Chateaubriand;35999;809;36808
PR;41;02109;Astorga;25010;465;25475
PR;41;02208;Atalaia;3972;8;3980
PR;41;02307;Balsa Nova;12813;582;13395
PR;41;02406;Bandeirantes;31102;171;31273
PR;41;02505;Barbosa Ferraz;10647;148;10795
PR;41;02604;Barracão;9635;124;9759
PR;41;02703;Barra do Jacaré;2781;33;2814
PR;41;02752;Bela Vista da Caroba;4031;0;4031
PR;41;02802;Bela Vista do Paraíso;14509;324;14833
PR;41;02901;Bituruna;15504;29;15533
PR;41;03008;Boa Esperança;4469;89;4558
PR;41;03024;Boa Esperança do Iguaçu;2455;0;2455
PR;41;03040;Boa Ventura de São Roque;6042;336;6378
PR;41;03057;Boa Vista da Aparecida;7861;63;7924
PR;41;03107;Bocaiúva do Sul;12853;446;13299
PR;41;03156;Bom Jesus do Sul;3976;4;3980
PR;41;03206;Bom Sucesso;6482;99;6581
PR;41;03222;Bom Sucesso do Sul;3134;68;3202
PR;41;03305;Borrazópolis;7713;22;7735
PR;41;03354;Braganey;4833;21;4854
PR;41;03370;Brasilândia do Sul;3664;44;3708
PR;41;03404;Cafeara;2627;0;2627
PR;41;03453;Cafelândia;18215;782;18997
PR;41;03479;Cafezal do Sul;4455;18;4473
PR;41;03503;Califórnia;8705;5;8710
PR;41;03602;Cambará;23112;100;23212
PR;41;03701;Cambé;104768;2440;107208
PR;41;03800;Cambira;9390;70;9460
PR;41;03909;Campina da Lagoa;15526;197;15723
PR;41;03958;Campina do Simão;3931;5;3936
PR;41;04006;Campina Grande do Sul;45827;1998;47825
PR;41;04055;Campo Bonito;4021;6;4027
PR;41;04105;Campo do Tenente;7433;75;7508
PR;41;04204;Campo Largo;130741;5586;136327
PR;41;04253;Campo Magro;29878;282;30160
PR;41;04303;Campo Mourão;94358;5074;99432
PR;41;04402;Cândido de Abreu;15167;77;15244
PR;41;04428;Candói;14943;30;14973
PR;41;04451;Cantagalo;10596;337;10933
PR;41;04501;Capanema;20210;271;20481
PR;41;04600;Capitão Leônidas Marques;13960;688;14648
PR;41;04659;Carambeí;22773;510;23283
PR;41;04709;Carlópolis;16769;136;16905
PR;41;04808;Cascavel;321818;26233;348051
PR;41;04907;Castro;70175;2900;73075
PR;41;05003;Catanduvas;10409;37;10446
